sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego,id
2,52,7,8,6,36,0,9,2.8,1745781
1,22,3,9,4,44,0,10,3.0,1119326
1,29,4,8,6,44,0,5,16.9,2104437
1,38,5,99,7,30,0,10,30.0,1342016
1,21,3,8,7,30,0,9,9.4,2253833
1,55,7,99,9,20,0,10,175.6,1628189
2,42,6,99,7,40,0,10,283.9,237259
1,37,5,9,7,44,0,4,4.9,1510370
2,19,3,9,7,44,0,9,6.9,811412
1,24,3,8,8,44,0,5,32.9,145110
1,43,6,8,7,44,0,10,34.8,681082
2,38,5,8,7,44,0,2,49.9,1885840
1,32,5,2,7,44,0,10,30.3,1478541
1,46,6,8,5,44,0,10,32.2,1204408
1,41,6,8,9,6,0,6,82.9,1609661
2,28,4,99,7,36,0,10,18.9,2176301
1,55,7,9,7,40,0,9,46.6,996294
2,49,6,99,7,40,0,10,219.2,216479
2,29,4,9,7,22,0,10,19.9,404018
2,24,3,9,7,30,0,10,26.3,1825904
1,34,5,9,7,44,0,3,64.8,2267730
2,40,6,9,7,36,0,4,97.9,2179133
1,36,5,8,9,44,0,6,8.1,1610058
2,33,5,8,7,44,0,7,4.9,1913837
1,36,5,8,7,38,0,10,32.8,1518922
2,46,6,99,7,30,0,10,59.9,1793807
2,35,5,99,9,44,0,8,11.9,1061149
1,41,6,99,7,30,0,10,150.8,1308683
2,31,5,8,8,44,0,10,24.4,1966335
1,75,8,99,9,44,0,10,149.9,376824
1,43,6,99,9,36,0,10,149.4,2139505
1,51,7,99,9,30,0,7,140.0,1642702
1,42,6,8,4,44,0,4,129.9,1122563
1,28,4,2,9,36,0,3,86.3,1681936
2,48,6,99,5,30,0,7,297.9,2357112
2,32,5,8,9,44,0,9,37.8,2091370
2,28,4,99,9,20,0,10,37.1,2011416
2,35,5,99,7,30,0,10,177.2,804753
2,44,6,99,9,30,0,10,113.2,927950
1,56,7,8,7,44,0,10,181.6,618178
1,43,6,99,7,40,0,9,250.9,554399
2,25,4,8,7,44,0,8,1.4,864490
1,33,5,9,7,44,0,2,33.1,107340
1,58,7,99,7,40,0,9,211.9,122131
1,48,6,8,9,44,0,6,189.5,377138
2,41,6,99,9,30,0,8,14.9,912373
1,56,7,99,7,30,0,10,237.9,535000
1,24,3,8,2,44,0,4,2.7,3622
2,63,7,99,7,30,0,10,358.9,1803233
1,34,5,9,7,44,0,6,26.4,1015905
1,40,6,8,7,44,0,8,194.7,2130261
1,60,7,8,9,5,0,6,112.9,1671931
1,39,5,8,7,44,0,8,0.9,1427413
2,45,6,99,5,40,0,10,295.2,182455
1,26,4,9,7,44,0,2,24.5,96008
1,43,6,8,4,44,0,6,64.6,19635
2,40,6,99,9,30,0,10,95.9,1975157
2,27,4,8,7,44,0,3,1.3,864336
1,26,4,9,7,44,0,3,38.7,1486550
1,24,3,8,7,44,0,7,20.9,2127779
2,38,5,8,7,36,0,5,38.9,837620
1,38,5,9,9,40,0,7,45.8,168264
1,33,5,8,6,44,0,7,113.1,40104
1,37,5,2,9,40,0,10,28.3,698575
1,61,7,2,7,44,0,8,11.4,1011254
1,39,5,99,7,30,0,9,110.6,591860
1,33,5,9,7,44,0,2,9.9,105068
1,40,6,8,9,28,0,6,35.8,1669633
1,30,5,8,5,44,0,9,31.7,468215
1,47,6,8,7,30,0,7,25.4,555922
1,43,6,8,4,44,0,9,30.3,2223341
1,33,5,9,7,44,0,9,2.5,1456128
1,47,6,99,5,40,0,8,174.6,29410
1,31,5,2,2,44,0,2,11.9,3185
2,43,6,9,7,33,0,10,38.4,392518
2,37,5,8,7,30,0,6,126.3,1851676
1,47,6,99,9,30,0,10,174.0,737998
2,40,6,99,9,25,0,10,2.1,427466
1,46,6,9,7,44,0,2,21.9,1407625
1,36,5,8,7,44,0,5,6.5,2126431
2,57,7,99,7,30,0,9,259.9,2375919
1,51,7,99,2,40,0,8,231.6,2213309
2,56,7,4,7,44,0,4,40.9,1897146
1,43,6,9,4,44,0,10,73.5,1143628
2,67,8,99,7,40,0,10,439.8,2171852
1,46,6,99,7,30,0,10,270.2,2107749
2,36,5,9,2,40,0,10,10.5,2353025
1,56,7,99,9,30,0,10,347.2,1659800
1,39,5,4,5,44,0,2,14.9,25577
1,35,5,99,9,30,0,10,70.6,373481
2,31,5,99,11,40,0,10,42.8,2095823
1,29,4,8,7,40,0,2,25.9,605584
1,49,6,8,7,36,0,5,5.3,1477109
2,45,6,99,7,32,0,9,167.9,1788993
1,50,7,8,7,44,0,10,32.9,1487476
1,40,6,9,5,44,0,4,163.9,1157406
1,41,6,99,9,40,0,10,164.9,2331913
2,45,6,99,7,30,0,10,177.0,810711
1,41,6,8,5,44,0,9,254.8,1203417
2,47,6,2,7,44,0,3,143.9,1885626
1,43,6,99,7,40,0,7,33.9,1380034
1,49,6,99,7,40,0,7,368.9,330766
1,28,4,8,7,44,0,5,78.9,542318
2,46,6,8,9,36,0,9,31.9,1977318
2,45,6,99,5,40,0,10,23.1,1032430
1,27,4,99,9,40,0,9,49.3,167482
2,33,5,8,7,44,0,8,2.1,864772
1,33,5,2,7,44,0,10,56.9,1372372
2,35,5,8,7,44,0,10,8.4,782152
1,34,5,9,7,44,0,3,28.4,1013495
2,26,4,8,7,44,0,3,82.9,238870
1,38,5,9,9,44,0,5,3.7,700659
1,49,6,8,7,44,0,9,118.5,2321770
2,54,7,99,5,30,0,10,245.4,762894
1,52,7,8,7,44,0,5,62.5,568562
1,29,4,8,7,36,0,6,104.9,2111434
1,34,5,8,2,44,0,10,2.5,1097582
1,44,6,2,9,9,0,5,83.0,1667684
2,54,7,99,9,30,0,10,102.8,938492
1,62,7,99,7,40,0,10,464.9,1409172
2,43,6,8,6,40,0,6,34.3,1740296
2,49,6,99,9,20,0,10,173.3,2031989
2,21,3,2,7,44,0,2,32.9,218589
1,39,5,8,7,40,0,5,23.9,1391818
1,44,6,9,5,40,0,9,19.4,2230430
1,49,6,8,7,44,0,3,17.4,1372044
2,29,4,99,9,40,0,10,44.8,291829
2,62,7,99,5,30,0,10,414.5,1716670
1,39,5,2,4,42,0,5,0.2,1126178
1,49,6,8,4,44,0,9,47.3,453464
2,55,7,8,7,44,0,5,22.8,1864491
2,47,6,99,7,44,0,10,157.9,2162968
2,50,7,9,7,44,0,4,13.4,2405244
1,48,6,9,7,44,0,2,15.9,335970
2,54,7,99,8,40,0,10,10.9,904729
2,23,3,99,7,30,0,9,57.8,843556
2,19,3,9,7,44,0,3,0.9,246027
2,40,6,99,9,35,0,8,188.3,911025
1,55,7,9,7,44,0,4,84.6,624718
2,52,7,8,6,44,0,6,37.9,1749877
1,20,3,8,7,44,0,8,10.9,1454357
2,35,5,9,7,44,0,5,42.9,406007
1,48,6,8,2,44,0,3,10.6,2213435
1,40,6,8,6,44,0,8,144.4,329248
2,35,5,8,7,44,0,4,100.4,797028
1,34,5,8,7,38,0,10,120.5,1526582
1,49,6,8,7,40,0,10,117.5,1513187
2,32,5,99,7,30,0,10,10.0,1763237
2,51,7,99,7,30,0,10,59.9,1773633
2,42,6,9,9,44,0,6,2.3,1071055
1,51,7,8,5,36,0,10,38.4,470429
1,52,7,8,7,44,0,5,44.6,601560
1,63,7,8,5,44,0,8,11.8,1222218
1,27,4,99,9,40,0,10,16.9,1607630
2,34,5,8,5,44,0,7,87.9,1736594
1,59,7,8,7,44,0,5,88.9,1409119
1,25,4,8,7,44,0,9,4.9,1527255
2,36,5,8,7,44,0,5,4.9,2370695
1,23,3,2,7,44,0,4,2.0,2260878
2,18,3,2,6,44,0,2,0.2,189338
2,29,4,8,5,44,0,6,90.2,1732361
1,67,8,8,4,44,0,4,100.9,1131936
1,25,4,2,7,44,0,5,25.5,1458427
1,37,5,8,7,44,0,5,34.9,1589264
1,25,4,8,7,44,0,3,59.3,1411321
2,22,3,2,7,44,0,3,45.9,2385597
2,19,3,2,7,44,0,5,3.9,2181120
2,42,6,2,7,44,0,4,12.9,1937601
1,38,5,99,9,30,0,7,45.9,2331897
1,35,5,8,7,44,0,7,137.5,605666
1,44,6,99,7,44,0,8,177.6,2109730
1,32,5,9,7,44,0,3,34.9,1397888
1,39,5,9,5,44,0,4,80.9,24255
2,29,4,99,9,36,0,10,10.6,2018286
2,23,3,9,7,44,0,2,40.7,231669
1,54,7,99,7,40,0,8,322.9,1395273
1,28,4,99,7,30,0,10,28.8,1284418
1,31,5,2,9,40,0,3,9.6,1680294
2,20,3,9,7,44,0,4,12.9,262758
2,38,5,99,9,30,0,10,84.4,2207090
2,45,6,2,9,37,0,8,146.7,2086796
2,18,3,8,6,20,0,7,11.3,773848
2,29,4,2,9,16,0,8,9.9,2187664
1,27,4,9,3,44,0,5,28.3,321071
1,35,5,99,7,30,0,10,85.5,1290739
1,24,3,9,5,44,0,5,2.9,1173931
2,48,6,99,9,40,0,8,111.9,2077152
2,22,3,9,7,44,0,3,36.9,2383206
2,55,7,99,9,40,0,10,307.9,2202828
2,45,6,99,5,40,0,8,131.1,2358646
2,58,7,99,9,44,0,10,419.6,282201
2,33,5,99,7,20,0,10,118.9,1784722
1,34,5,8,7,44,0,2,21.4,2273708
1,34,5,99,7,30,0,10,27.5,337167
1,32,5,8,7,44,0,6,69.9,1590729
1,27,4,2,7,44,0,4,9.4,2285858
1,37,5,8,7,44,0,5,85.3,126588
1,27,4,2,7,36,0,3,1.6,1014338
1,61,7,99,7,40,0,10,108.7,1293054
1,40,6,8,7,44,0,5,24.9,1541494
1,49,6,8,7,44,0,3,0.9,2295391
1,77,8,2,6,44,0,5,91.4,481626
2,38,5,8,7,40,0,10,10.6,1878374
2,43,6,8,6,44,0,5,42.9,2160651
2,40,6,8,7,36,0,9,51.3,403523
1,47,6,8,7,44,0,6,2.6,1349976
1,33,5,2,6,44,0,5,19.8,1242278
1,24,3,8,7,44,0,5,28.9,629597
1,20,3,8,7,44,0,10,17.2,1295728
2,35,5,8,7,44,0,4,85.9,1953150
1,57,7,8,7,42,0,10,420.9,535439
1,44,6,2,1,44,0,6,0.7,1080603
2,49,6,99,9,30,0,10,18.9,2008666
2,27,4,2,9,44,0,5,67.4,2086225
1,34,5,8,6,44,0,6,45.8,1237045
1,56,7,8,4,44,0,8,185.5,1125397
1,49,6,8,5,44,0,8,14.6,1174469
2,22,3,9,7,36,0,5,20.4,859962
1,42,6,8,7,40,0,10,9.8,541713
2,29,4,8,8,44,0,7,93.8,1956674
2,41,6,9,7,40,0,10,16.0,2386710
1,46,6,99,7,40,0,10,31.9,86476
2,49,6,99,4,30,0,7,325.9,758184
2,36,5,2,7,44,0,2,27.9,1953453
1,39,5,9,7,44,0,3,23.4,1269522
1,47,6,8,7,44,0,10,44.4,1496003
2,34,5,8,7,44,1,5,23.9,2171227
1,46,6,99,4,40,0,9,194.9,1121284
2,29,4,99,5,40,0,10,52.8,1735528
1,65,8,99,9,30,0,10,325.1,1634567
1,26,4,1,7,44,0,10,21.9,1580517
2,29,4,8,7,44,0,4,41.9,269410
2,42,6,99,9,30,0,10,53.5,925185
1,34,5,9,7,44,0,3,14.2,1508231
2,50,7,99,9,40,0,10,221.9,964720
1,46,6,8,2,44,0,3,4.9,318255
1,44,6,8,7,44,0,9,3.9,1558140
1,49,6,99,3,30,0,8,274.6,1107004
2,37,5,8,7,44,0,8,87.9,842695
1,44,6,99,7,36,0,10,149.4,2112716
2,55,7,99,7,44,0,5,319.9,2391595
2,48,6,99,9,20,0,9,210.9,960070
1,59,7,8,7,44,0,5,152.9,551414
2,24,3,8,7,44,0,7,30.4,409889
2,54,7,8,7,44,1,10,66.8,1825907
2,43,6,8,7,44,0,10,20.4,880433
1,42,6,9,7,44,0,4,33.9,2309710
2,33,5,8,6,44,0,3,58.9,189139
1,51,7,99,7,40,0,10,364.7,93217
2,30,5,8,6,44,0,6,66.9,772945
1,34,5,2,7,44,0,6,51.9,670285
2,33,5,8,2,44,0,2,10.9,383415
1,23,3,8,5,44,0,2,6.6,27653
2,32,5,99,9,40,0,10,34.0,2049817
1,28,4,8,5,44,0,7,56.9,1214928
2,26,4,2,7,44,0,9,3.3,1802256
1,58,7,99,9,40,0,10,195.6,157112
1,20,3,9,7,20,0,6,18.6,1422797
1,24,3,8,6,44,0,4,13.9,1262600
2,35,5,8,9,44,0,8,37.9,2087865
1,50,7,8,7,44,0,10,115.9,1507314
1,32,5,9,7,44,0,5,2.5,1466387
1,32,5,8,6,44,0,6,90.5,40037
1,34,5,6,9,40,0,9,11.2,2330195
1,45,6,8,7,44,0,8,10.3,1296774
2,57,7,99,11,30,0,10,107.0,982719
1,46,6,9,7,44,0,2,13.9,342444
1,22,3,9,4,44,0,2,2.0,1132843
2,69,8,99,7,40,0,10,453.8,221087
2,36,5,8,7,40,0,8,148.8,1927706
2,37,5,99,7,40,0,2,201.9,2401736
1,22,3,8,7,44,0,4,0.9,1393767
2,48,6,2,7,44,0,4,97.9,1766543
2,21,3,8,7,44,0,4,5.9,248108
1,21,3,9,7,44,0,3,2.8,997255
2,34,5,8,7,44,0,3,140.9,1040035
1,31,5,99,9,40,0,10,104.9,2149252
1,58,7,8,7,44,0,5,29.9,2119193
1,38,5,8,7,44,0,8,3.8,557724
2,33,5,8,7,44,0,3,13.7,2386590
2,20,3,9,7,44,0,2,5.4,2371536
2,46,6,8,7,44,1,7,112.9,1784528
2,61,7,99,7,40,0,6,231.3,210005
1,48,6,99,7,40,0,10,46.9,995207
1,25,4,99,7,40,0,7,33.1,1461066
2,43,6,8,4,36,0,10,219.8,1705120
1,31,5,9,7,44,0,5,15.1,2112270
1,45,6,8,7,36,0,10,68.5,1572601
1,39,5,2,7,44,0,3,38.9,1441498
2,35,5,99,7,36,0,8,94.9,1898364
2,30,5,9,7,36,0,3,1.9,2163582
1,66,8,99,9,30,0,8,479.7,1622174
1,52,7,99,7,40,0,10,395.8,1004546
1,39,5,8,7,44,0,8,34.2,1484361
1,33,5,9,7,44,0,9,6.9,538206
1,28,4,8,7,44,0,3,1.9,628882
2,34,5,9,9,0,0,3,3.9,2434459
1,30,5,9,7,44,1,5,28.9,1380560
1,27,4,99,7,40,0,10,64.9,1299307
1,38,5,99,9,24,0,10,157.3,1028168
1,27,4,9,9,40,0,10,17.9,1023383
2,28,4,9,9,44,0,5,14.0,926386
2,23,3,8,7,44,0,8,2.1,862613
2,24,3,8,7,44,0,4,0.9,1761294
1,31,5,99,9,44,0,10,78.7,2137428
1,40,6,8,7,36,0,7,2.9,1504684
1,32,5,99,9,30,0,8,14.7,1615393
2,61,7,8,7,44,0,2,4.9,1876990
2,31,5,9,7,44,0,4,31.8,233507
1,27,4,8,6,44,0,9,102.9,1232055
1,28,4,9,7,36,0,5,53.5,1559464
1,48,6,4,7,36,0,9,139.9,1413389
1,26,4,8,7,44,0,7,79.4,142741
2,44,6,99,9,42,0,9,135.4,2063237
1,36,5,2,7,44,0,7,27.2,582340
1,23,3,8,7,36,0,8,6.9,1543678
1,36,5,9,7,44,0,2,29.9,88491
1,38,5,8,7,42,0,7,41.5,1441286
1,34,5,8,7,38,0,10,110.4,1528370
1,57,7,8,9,44,0,9,131.9,745117
2,26,4,2,7,44,0,2,2.9,1891317
2,39,5,99,9,40,0,8,153.5,2426832
2,38,5,2,9,26,0,5,47.7,2188343
2,54,7,8,9,44,0,7,231.9,934222
2,43,6,8,7,44,1,10,10.9,884991
2,45,6,9,7,22,0,2,61.9,1829023
1,35,5,2,7,44,0,3,9.9,1323147
1,31,5,99,7,30,0,10,85.5,1289905
2,30,5,9,7,44,0,2,10.4,198086
2,29,4,9,9,30,0,10,11.5,304653
1,49,6,9,3,44,0,4,66.9,6955
1,27,4,2,7,44,0,6,0.9,1263933
2,40,6,99,7,40,0,8,224.7,211082
1,40,6,8,5,44,0,7,48.5,1208714
2,61,7,99,7,20,0,10,427.9,1797636
1,24,3,9,6,44,0,4,2.9,2242353
2,50,7,99,9,25,0,10,21.9,426930
1,47,6,8,7,44,0,5,40.9,632239
1,35,5,8,7,44,0,6,152.2,1456318
2,33,5,2,9,40,0,3,21.4,289804
1,45,6,99,7,40,0,9,197.5,1411834
1,34,5,8,7,44,0,3,31.9,576193
2,38,5,8,5,44,0,5,81.9,1732456
1,33,5,8,7,38,0,10,32.6,1514622
1,54,7,99,9,44,0,10,263.5,1619050
1,35,5,8,5,44,0,8,91.7,326366
1,48,6,99,9,40,0,9,370.9,1026308
1,42,6,99,7,40,0,10,208.8,59037
2,57,7,99,7,40,0,10,173.0,1042889
1,32,5,99,7,44,0,10,83.9,334561
1,35,5,4,4,44,0,4,1.9,10858
2,33,5,9,9,36,0,5,0.6,2188352
2,40,6,99,9,40,0,9,80.9,284940
1,19,3,8,7,44,0,5,7.7,1371605
2,36,5,99,9,36,0,10,102.9,2055338
1,37,5,99,9,40,0,10,43.0,2337052
1,37,5,8,7,44,0,9,6.9,623286
2,35,5,8,7,44,0,5,33.8,2182191
1,48,6,99,7,40,0,10,165.0,1293173
1,30,5,8,7,44,0,2,91.9,1554226
1,36,5,8,9,44,0,5,10.9,2350250
2,23,3,8,9,44,0,5,1.2,436856
1,22,3,2,7,44,0,8,19.5,1427432
1,27,4,8,7,36,0,5,45.5,114658
1,19,3,8,7,44,0,10,0.7,502670
1,24,3,8,4,44,0,4,15.9,1148819
1,33,5,8,8,44,0,5,47.0,2325123
2,36,5,4,7,44,0,10,1.4,885792
2,46,6,99,9,16,0,9,164.9,953597
2,63,7,4,7,44,0,8,125.9,1906342
2,22,3,2,8,44,0,3,14.2,415299
1,26,4,9,7,44,0,5,82.5,2270987
1,26,4,8,7,44,0,2,22.8,348619
2,50,7,2,9,40,0,10,115.9,2040362
2,46,6,8,9,13,0,5,9.4,303642
2,32,5,99,5,40,0,10,75.9,1733981
2,38,5,8,9,30,0,2,5.7,2001752
1,39,5,8,7,44,0,5,26.9,1554633
1,40,6,4,7,44,0,4,38.4,1536927
1,28,4,9,7,44,0,8,15.2,637348
1,40,6,99,7,30,0,9,186.6,1428626
1,23,3,8,6,44,0,7,66.1,34199
1,29,4,8,5,44,0,9,17.7,1196864
1,22,3,9,7,44,0,4,11.4,2318858
2,28,4,2,9,44,0,6,11.8,965081
2,29,4,99,9,30,0,9,3.6,1971233
2,55,7,2,9,44,0,2,142.9,2058305
2,33,5,99,9,36,0,9,5.9,1975888
2,48,6,9,7,44,0,6,18.1,1954468
1,37,5,8,7,38,0,10,106.9,1514681
2,35,5,2,7,44,0,8,48.9,858684
1,43,6,99,9,20,0,10,194.8,1625797
1,34,5,99,9,30,0,9,13.6,699763
1,45,6,8,7,44,0,5,12.9,1425605
1,41,6,8,7,44,0,9,198.9,1588812
1,36,5,9,7,44,0,8,2.9,1265990
1,41,6,99,5,40,0,10,173.9,1211676
1,27,4,4,3,44,0,8,18.9,444428
1,44,6,99,7,40,0,10,268.3,1585837
1,22,3,8,7,44,0,9,39.9,603958
2,38,5,99,7,44,0,10,165.9,1788472
1,23,3,9,7,44,0,3,25.3,2123906
1,26,4,9,7,44,0,4,11.9,342485
1,27,4,8,7,0,0,10,9.1,1594515
2,51,7,99,9,32,0,8,166.6,2046650
1,57,7,99,7,30,0,10,445.9,1326482
1,48,6,8,6,44,0,7,55.3,1257749
2,53,7,99,7,40,0,9,183.0,2378480
2,48,6,99,7,44,0,10,136.8,1784216
1,53,7,99,9,40,0,6,300.9,1629112
2,33,5,99,7,40,0,10,23.5,226455
2,37,5,8,7,44,0,6,6.9,2372233
2,33,5,99,9,40,0,10,107.2,2053896
2,35,5,8,9,30,0,5,84.8,2049615
2,64,7,99,9,40,0,10,307.5,2201894
2,57,7,99,9,30,0,9,396.9,2069579
2,32,5,8,9,36,0,8,52.6,2456726
1,28,4,2,5,44,0,5,5.1,1199115
1,26,4,9,8,44,0,5,31.9,366590
2,32,5,8,7,44,0,5,14.0,2413894
1,29,4,2,4,44,0,8,12.4,16811
1,30,5,8,9,44,0,4,10.5,1667687
1,32,5,2,7,44,1,7,20.9,1533267
2,20,3,2,8,30,0,5,21.9,2418505
2,43,6,99,9,20,0,10,3.0,2019126
2,48,6,99,7,34,0,10,106.9,1773217
2,21,3,9,7,44,0,5,3.9,263364
1,35,5,8,7,44,0,7,107.9,1557978
1,26,4,9,7,44,0,4,46.7,1530011
2,53,7,99,9,30,0,10,344.2,2208337
1,43,6,8,9,30,0,3,91.5,1661663
1,35,5,8,7,36,0,4,16.9,1463632
1,36,5,99,7,30,0,9,68.2,1302293
1,34,5,99,7,40,0,10,107.6,88623
1,33,5,9,9,40,0,10,6.9,1021530
1,37,5,8,7,44,0,8,7.8,1455576
1,16,2,8,5,20,0,4,18.3,465333
2,41,6,99,7,40,0,9,153.9,2379055
1,34,5,9,7,36,0,8,36.0,2115205
1,41,6,8,7,44,0,4,66.9,1378739
2,33,5,99,7,40,0,4,95.4,197667
2,28,4,8,9,44,0,5,20.1,976297
2,26,4,2,7,44,0,5,12.9,1800218
1,38,5,8,6,44,0,7,111.1,992204
1,26,4,9,7,44,0,3,17.9,75922
2,44,6,99,9,40,0,10,225.9,1998063
2,54,7,99,9,40,0,10,215.9,1064679
1,31,5,8,6,44,0,6,47.9,1246730
2,24,3,9,2,40,0,10,21.7,2353918
1,31,5,8,7,38,0,9,3.9,556238
2,38,5,8,3,44,0,2,44.6,1700619
1,44,6,9,7,44,0,7,11.5,1556998
1,37,5,99,9,40,0,10,52.8,1617493
1,38,5,8,7,36,0,8,5.4,1274282
2,40,6,99,7,40,0,10,186.9,809948
2,44,6,99,9,30,0,10,153.1,2029335
1,49,6,8,4,44,0,10,90.5,2098391
1,45,6,9,7,44,0,3,61.0,2307711
1,23,3,8,7,44,0,6,19.8,552057
2,37,5,8,7,44,0,2,127.9,239025
1,42,6,8,7,44,0,10,104.4,1408484
2,37,5,8,3,44,0,4,39.9,2157847
1,27,4,8,7,44,0,9,38.4,1503249
1,26,4,9,7,44,0,4,18.3,2275607
1,35,5,8,6,36,0,6,11.9,1252252
1,34,5,8,7,44,0,5,97.9,577365
1,33,5,8,4,44,0,2,155.9,1134086
1,27,4,9,7,44,0,7,0.3,662761
2,36,5,99,7,30,0,10,118.9,1780890
2,38,5,9,7,44,0,2,19.9,411500
2,52,7,99,7,40,0,7,160.8,2413953
2,30,5,99,5,30,0,10,143.7,1722618
1,44,6,9,7,44,1,10,45.3,681171
1,24,3,8,7,44,0,3,12.8,2285114
1,46,6,8,7,44,0,8,8.2,668124
1,33,5,8,7,44,0,4,25.8,63698
1,19,3,9,5,44,0,5,2.4,1210284
1,37,5,99,7,44,0,9,151.9,344320
1,25,4,8,7,44,0,5,7.9,1506870
1,62,7,99,7,30,0,10,138.2,587470
1,36,5,9,7,44,0,5,41.9,363543
2,30,5,8,5,36,0,5,3.2,1034933
2,44,6,9,7,44,0,7,61.9,897920
2,29,4,8,4,44,0,4,41.8,1711314
2,31,5,99,9,40,0,10,172.9,2024877
2,50,7,8,2,44,0,4,36.9,174421
1,52,7,9,6,44,0,4,63.9,43746
1,56,7,2,7,30,0,3,393.8,2266041
1,41,6,99,9,40,0,10,173.4,2140542
2,38,5,8,7,25,0,5,105.9,1791254
1,22,3,8,7,44,0,3,74.9,2278798
2,52,7,99,4,44,0,9,176.9,1710780
1,24,3,8,6,44,0,4,26.9,47320
1,39,5,8,9,44,0,7,5.7,1675821
1,24,3,8,7,44,0,3,19.9,63647
1,30,5,8,7,36,0,10,74.8,1572515
1,40,6,99,7,40,0,10,13.4,83587
1,34,5,99,7,40,0,6,115.4,78492
1,64,7,99,7,40,0,10,203.1,2286615
1,36,5,8,3,44,0,2,9.9,2217855
1,18,3,2,7,44,0,2,0.4,113445
2,25,4,8,7,44,0,2,30.9,2382524
1,38,5,8,6,44,0,8,33.0,41338
2,57,7,99,7,25,0,10,263.1,1769240
2,33,5,8,7,36,0,2,67.3,2408184
1,40,6,2,7,36,1,8,78.4,130951
1,51,7,8,7,44,0,4,119.3,2316689
1,34,5,8,9,44,0,3,23.7,2330179
2,26,4,4,9,44,0,2,35.9,2420787
1,54,7,2,9,0,0,2,115.9,734649
2,19,3,4,6,20,0,6,22.4,772700
2,44,6,99,7,40,0,3,73.7,1846921
1,34,5,8,9,44,0,4,104.5,716792
2,49,6,99,9,30,0,7,11.5,2062744
1,45,6,4,4,41,0,10,17.9,1150092
1,50,7,99,9,40,0,10,173.8,2146277
1,23,3,8,7,44,0,7,26.3,619987
1,52,7,99,7,40,0,10,279.5,542784
1,23,3,8,4,44,0,3,3.8,14328
2,40,6,8,5,44,0,9,59.4,2359626
1,30,5,8,7,42,1,5,2.9,2275946
1,38,5,99,9,30,0,10,111.7,1651431
2,22,3,8,7,44,0,5,37.3,785260
2,41,6,99,9,44,0,10,58.1,912873
2,64,7,99,9,20,0,10,525.7,2020948
1,59,7,8,3,44,0,6,75.9,1115843
1,47,6,4,2,44,0,10,185.3,1431
1,42,6,8,4,13,0,10,56.3,1128900
1,51,7,2,7,34,0,6,201.9,1489411
1,37,5,99,4,36,0,10,11.9,1122509
1,40,6,8,11,44,0,9,15.6,1692161
2,53,7,8,7,36,0,7,3.9,1820285
1,41,6,9,7,44,0,2,25.9,2132585
1,41,6,8,7,30,0,6,201.0,557494
1,34,5,8,4,44,0,9,34.9,1137593
1,49,6,99,5,40,0,7,169.9,2100460
1,35,5,9,7,36,0,3,17.4,63157
2,38,5,8,7,35,0,4,28.3,778618
1,24,3,8,7,44,0,3,45.9,1287340
2,43,6,9,9,40,0,10,21.3,2447959
1,49,6,8,7,44,0,8,5.7,1015790
1,52,7,8,7,44,0,6,6.9,2308089
