sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego,remuneracao,id
2,34,5,8,9,44,0,5,42.9,6263.02,416050
1,43,6,99,9,40,0,8,85.0,2207.76,2138429
1,53,7,99,7,40,0,10,342.5,6952.14,88990
1,32,5,2,9,44,0,7,46.6,1451.51,2139585
1,50,7,8,4,44,0,9,4.4,1573.65,1152228
1,64,7,2,4,44,1,3,20.9,1364.76,1123337
1,28,4,8,8,44,0,7,74.2,897.08,1596113
1,32,5,8,7,44,0,9,66.4,1692.01,1331683
1,26,4,8,7,44,0,7,15.1,2008.09,1560108
2,33,5,8,7,44,0,3,7.6,1044.52,1956192
2,43,6,8,9,44,0,9,16.7,2298.28,1972582
1,41,6,2,7,44,0,9,143.7,2134.99,515879
1,30,5,99,5,40,0,10,119.6,1486.38,1222348
2,35,5,8,7,20,0,9,16.3,1554.13,816731
1,32,5,8,4,44,0,4,117.9,1885.2,1117891
1,23,3,8,7,44,0,2,0.9,1188.98,1587943
1,31,5,8,9,1,0,6,64.9,467.75,2138126
1,41,6,8,7,0,0,9,117.0,995.54,1403127
2,48,6,8,7,44,0,8,56.9,1335.76,1827965
2,63,7,99,8,30,0,8,369.0,10610.14,901852
2,60,7,9,9,44,0,7,25.8,18625.04,917601
1,30,5,2,5,44,0,4,44.9,1199.06,472731
1,73,8,99,5,40,0,7,241.8,1917.1,1183045
1,43,6,8,9,40,0,10,30.5,11274.03,1648273
1,44,6,8,8,44,0,7,78.2,8951.11,1605169
2,24,3,8,7,24,0,3,0.4,605.34,838599
2,54,7,99,7,40,0,10,222.9,1659.41,806450
2,35,5,99,7,36,0,8,94.9,1494.47,1898364
1,42,6,8,9,40,0,6,92.9,1787.94,1661780
2,47,6,99,9,40,0,10,221.9,5869.62,2451273
1,33,5,8,5,44,0,3,0.4,445.89,465053
2,46,6,99,7,40,0,7,205.5,2096.51,1898322
1,52,7,2,7,0,0,9,102.3,4467.64,1558627
1,35,5,9,7,44,0,7,0.6,715.21,2115451
2,29,4,8,7,44,0,5,36.5,1537.46,1947496
2,28,4,2,9,44,0,2,15.3,3106.51,970992
2,25,4,99,9,40,0,10,4.6,3044.27,2202565
2,28,4,8,7,44,0,3,0.2,429.32,1772908
1,39,5,8,7,44,1,7,1.3,785.07,1008932
1,38,5,8,5,44,0,8,194.9,2416.34,326729
1,52,7,8,5,44,0,2,56.9,1418.34,1179084
1,47,6,8,7,44,0,3,11.9,2208.77,1318258
2,22,3,8,7,36,0,3,9.9,1638.59,1927117
2,45,6,99,9,30,0,9,32.9,2696.08,1985141
1,37,5,99,9,40,0,10,130.9,5068.95,1618207
1,36,5,8,9,40,0,7,39.6,5038.85,2335074
2,57,7,99,7,40,0,7,143.8,2947.06,2366963
1,53,7,8,7,44,0,9,93.4,1514.1,1350017
1,48,6,99,7,40,0,10,246.7,5001.49,2285356
2,19,3,8,7,20,0,6,14.7,541.16,1902090
2,41,6,8,7,44,0,2,29.9,1235.81,244946
1,50,7,2,7,44,0,6,66.6,1522.8,1566682
2,28,4,9,9,40,0,10,6.0,3998.1,1065305
1,24,3,8,7,44,0,6,5.7,1293.74,600213
1,49,6,99,9,40,0,10,292.5,3010.14,717261
1,51,7,8,6,44,0,4,113.9,1371.61,1259619
2,38,5,8,5,44,0,7,35.9,1311.29,1738708
1,28,4,8,7,44,0,10,3.3,1163.06,1517763
2,44,6,8,7,44,0,10,66.9,1610.31,887685
2,36,5,8,7,44,0,6,1.6,1165.88,2408545
2,28,4,99,9,30,0,10,11.9,1743.38,947758
1,51,7,99,7,44,0,8,47.9,3246.29,343286
1,46,6,9,7,44,0,2,64.9,702.37,343923
1,24,3,8,7,44,0,5,24.9,1268.06,1269847
1,52,7,8,9,44,0,3,15.9,2090.82,740188
1,60,7,99,7,40,0,9,387.5,6087.98,571606
2,46,6,99,7,30,0,10,97.1,3539.01,818220
2,31,5,8,7,44,0,9,76.8,2938.22,1797867
2,60,7,99,7,40,0,10,438.1,3003.57,235337
2,51,7,99,2,40,0,9,153.9,1809.42,383325
1,59,7,99,7,30,0,8,191.9,2022.33,1385245
1,24,3,99,7,40,0,9,8.9,1370.52,2262747
2,51,7,99,9,30,0,10,188.3,4112.13,2023821
2,48,6,8,7,30,0,10,190.9,1799.46,815414
1,56,7,8,4,44,0,4,32.9,1161.36,1117094
1,43,6,8,6,44,0,5,24.8,1576.79,329032
2,44,6,8,9,36,0,7,22.0,3170.01,2457396
1,30,5,8,4,44,0,7,6.8,1181.04,1155674
2,43,6,8,6,44,0,2,5.9,1040.68,1741305
1,29,4,8,6,44,0,5,16.9,1678.44,2104437
2,40,6,9,7,44,0,8,38.9,1399.55,880043
1,39,5,8,7,44,0,7,18.5,1339.35,619943
1,66,8,8,4,36,0,10,74.3,1364.94,1136535
1,33,5,2,5,44,0,6,123.9,1975.5,31652
2,35,5,99,7,40,0,10,177.6,2143.91,1885074
1,45,6,99,3,40,0,9,166.7,1544.97,9279
2,27,4,8,7,44,0,9,20.9,1118.74,1895751
2,48,6,8,4,44,0,4,54.9,1086.96,1713249
1,38,5,99,9,40,0,8,70.6,5478.64,1644550
1,35,5,8,7,44,0,10,1.4,1718.94,636790
1,32,5,8,7,44,0,7,73.6,2631.82,2315119
1,21,3,99,6,40,0,10,3.5,1327.13,37892
2,47,6,8,7,44,0,6,59.1,1553.96,849692
1,54,7,8,7,44,0,6,7.3,2870.09,1405874
1,34,5,8,4,44,0,7,130.2,3066.85,322782
2,30,5,9,9,44,0,3,93.9,1099.82,2071774
2,62,7,99,7,30,0,10,345.8,3536.4,1858133
1,23,3,9,7,30,0,3,13.7,736.98,343698
2,30,5,8,7,36,0,10,89.9,2190.1,1911631
1,28,4,8,4,40,0,4,8.5,2294.04,2223650
1,48,6,8,6,20,1,9,52.3,920.77,478241
1,32,5,99,9,30,0,10,109.8,4997.42,1608782
2,40,6,99,8,30,0,6,41.9,1529.0,903145
1,43,6,8,7,44,0,5,1.4,1489.97,1272196
2,57,7,2,7,40,0,8,378.2,9251.38,1852125
1,59,7,8,7,44,0,4,93.9,2682.77,554391
1,42,6,8,5,44,0,9,4.6,2879.28,1199391
1,34,5,8,7,44,0,3,10.9,1754.38,361319
1,29,4,8,5,44,0,10,19.5,1033.01,1166605
2,32,5,8,7,44,0,10,4.9,1618.53,890742
1,52,7,8,6,36,0,3,121.9,2089.51,1247763
1,38,5,99,7,40,0,10,29.4,1991.38,59290
1,57,7,8,4,44,0,2,81.9,1558.37,1119349
1,54,7,99,4,36,0,8,214.1,1294.98,1121733
1,22,3,2,7,36,0,2,11.3,1042.95,108583
2,37,5,2,9,44,0,2,4.6,4430.37,2047453
2,46,6,99,9,20,0,9,344.9,6216.53,1982404
2,27,4,2,9,40,0,7,9.2,1278.72,2435171
1,22,3,8,7,44,0,2,19.9,1053.75,599819
1,40,6,8,5,21,0,10,120.9,1036.48,1171460
2,50,7,99,9,25,0,10,220.9,2762.21,288136
2,50,7,8,7,40,0,3,9.9,815.02,1852393
1,36,5,99,9,20,0,10,130.8,2616.41,708987
1,23,3,8,7,44,0,4,1.7,1312.05,1419201
1,20,3,8,7,44,0,6,0.6,1527.25,650444
1,18,3,2,7,44,0,5,6.2,1262.66,1463731
2,50,7,99,10,40,0,9,167.9,5063.09,2095215
2,63,7,99,4,30,0,9,415.3,1559.08,1711681
2,43,6,8,4,44,0,8,118.5,1371.91,178334
2,31,5,8,7,44,0,10,4.6,2988.71,882208
1,26,4,9,7,44,0,7,13.2,1480.72,659352
1,40,6,8,7,44,0,5,24.9,1713.14,1541494
1,31,5,9,7,44,0,2,30.9,2185.28,113644
2,62,7,99,7,30,0,10,477.8,2952.86,1911522
2,49,6,8,7,44,0,3,16.9,2646.76,1947665
1,36,5,8,7,40,0,8,150.5,7599.03,1529288
1,43,6,8,4,44,0,4,104.9,1867.47,450207
1,26,4,8,5,44,0,10,5.3,1146.5,1209093
2,20,3,8,7,44,0,6,9.4,1324.52,2406483
1,44,6,99,9,20,0,9,110.6,5913.6,1653681
1,22,3,8,7,44,0,8,24.6,1722.19,1588591
2,37,5,99,9,40,0,10,17.2,1911.61,1995057
2,35,5,2,7,44,0,4,130.9,1713.16,869024
1,39,5,2,6,44,0,4,0.8,2170.51,1239322
1,20,3,8,7,42,0,10,18.5,2083.11,671211
2,32,5,99,7,40,0,10,77.5,1729.76,2368828
2,28,4,2,7,44,0,2,11.9,1055.04,1847449
2,31,5,9,9,44,0,2,15.3,1254.12,2072837
1,61,7,2,9,44,0,10,304.9,10796.06,1673494
1,44,6,99,5,40,0,7,215.9,2363.78,1186562
2,29,4,8,7,44,0,7,9.9,1786.1,261800
2,50,7,8,7,44,0,8,299.8,1649.56,1913675
2,44,6,99,7,40,0,10,77.0,4503.79,2396761
2,31,5,2,7,44,0,2,2.0,1381.02,212570
1,37,5,8,7,44,0,3,103.9,1060.9,99335
1,29,4,8,7,44,0,6,35.7,3342.06,63105
1,42,6,2,10,44,0,5,0.9,4682.3,172324
2,51,7,99,5,36,0,10,98.9,1804.65,1730057
2,38,5,99,9,36,0,9,117.6,1218.98,2001493
2,34,5,9,7,44,0,7,3.2,1261.46,1785105
1,28,4,8,9,44,0,4,2.9,2499.35,1675082
2,45,6,8,7,44,0,10,2.5,1671.38,874023
1,63,7,99,7,40,0,10,484.9,5141.84,2116986
2,36,5,8,7,44,0,3,111.9,2038.84,1054530
2,37,5,9,8,44,0,5,24.9,3321.85,1959391
2,50,7,99,9,30,0,10,95.7,4927.37,2195665
1,51,7,99,9,40,0,10,215.9,6706.93,1023505
1,25,4,8,7,24,0,5,13.7,532.24,2308230
1,49,6,8,7,36,0,5,5.3,1365.22,1477109
2,39,5,99,9,40,0,10,199.9,4948.84,1062155
1,26,4,8,7,44,0,5,46.9,2867.28,1456089
1,46,6,99,4,40,0,9,194.9,1681.25,1121284
1,32,5,8,7,44,0,5,28.9,4777.52,346496
1,58,7,99,9,20,0,10,272.0,2417.76,1627135
1,26,4,9,9,25,0,10,6.2,1865.15,155970
1,28,4,8,7,44,0,5,4.8,1508.18,1457665
1,28,4,2,8,44,0,4,76.9,1520.0,693060
1,34,5,8,7,44,0,10,7.5,2104.23,604584
1,24,3,8,7,44,0,3,35.9,1304.62,1371193
1,24,3,8,7,43,1,9,65.2,1461.16,679777
2,36,5,99,9,40,0,7,48.0,3163.69,2064746
1,42,6,9,9,44,0,7,7.2,6201.91,2349224
1,37,5,9,9,44,0,9,133.1,4083.11,747782
2,30,5,9,7,44,0,3,40.2,1404.91,2166430
2,49,6,8,7,30,0,9,128.8,2108.06,1778679
2,47,6,99,9,40,0,10,128.1,5010.91,2444547
1,45,6,2,10,40,0,2,2.9,4185.69,2156747
1,46,6,9,7,44,0,5,6.9,1334.4,347259
2,24,3,9,8,44,0,2,10.6,1099.95,2418645
1,17,2,8,6,44,0,3,9.8,1032.83,32365
2,34,5,99,9,30,0,9,32.2,5956.43,910533
1,56,7,99,3,44,0,10,173.9,1277.16,1112781
2,52,7,99,9,40,0,7,47.9,1135.23,1060239
1,31,5,2,2,44,0,2,11.9,1047.95,3185
1,36,5,8,7,44,0,6,15.8,1660.24,51432
2,25,4,8,7,44,0,5,4.3,1775.01,1868290
2,33,5,8,9,44,0,2,24.5,375.51,433955
2,21,3,8,7,44,0,5,22.9,1278.66,2409486
1,37,5,4,7,40,0,5,167.5,8838.23,76328
1,44,6,99,7,30,0,10,10.5,2411.8,1276147
2,44,6,99,7,44,0,10,175.6,4615.5,2165066
1,34,5,9,7,44,0,2,0.9,1384.06,111280
1,45,6,99,7,20,0,8,177.0,2797.13,546454
2,56,7,99,7,40,0,7,199.8,1401.62,225645
1,28,4,8,7,44,0,7,64.3,1660.31,613263
2,29,4,9,9,12,0,7,15.8,1958.5,279795
2,52,7,8,2,44,0,5,21.3,1674.92,1698205
2,40,6,99,7,40,0,10,103.3,1665.86,228940
1,19,3,8,7,44,0,3,13.7,1067.12,1446519
1,26,4,8,7,44,0,2,35.9,1184.16,50229
1,50,7,99,7,40,0,10,177.5,3523.0,1305403
1,35,5,8,7,42,0,10,4.9,2138.9,1462519
2,47,6,99,7,40,0,10,19.9,1104.63,1038709
2,50,7,99,7,40,0,9,131.0,819.91,1803832
1,43,6,9,7,44,0,6,23.9,2192.39,2296141
2,41,6,99,7,40,0,10,86.6,2804.1,1044250
1,34,5,2,9,40,0,5,47.9,15189.45,2342292
1,39,5,9,7,44,0,7,122.8,2339.08,671379
1,32,5,8,7,44,0,9,8.3,4448.98,655655
1,37,5,99,7,30,0,10,180.0,3922.45,1307758
2,37,5,8,7,44,0,2,22.9,1337.61,1864891
1,61,7,99,6,30,0,10,380.6,6211.54,1232651
1,34,5,9,7,44,0,7,6.3,1110.72,1386689
1,53,7,99,7,30,0,8,237.9,5132.23,522924
1,34,5,8,7,44,0,5,97.9,1391.76,577365
1,42,6,2,9,44,0,6,25.9,6122.4,697011
2,43,6,9,7,30,0,6,151.9,1836.95,1791665
1,40,6,8,6,44,0,7,130.8,1821.51,1256309
1,42,6,8,3,40,0,9,19.9,1911.66,1115480
2,33,5,2,7,25,0,2,8.9,767.87,2385161
1,45,6,99,9,30,0,10,121.4,14827.43,1660481
1,19,3,2,8,30,0,4,15.7,3580.59,1605856
2,51,7,8,9,40,0,7,34.9,4787.26,2043391
1,32,5,9,7,44,0,5,40.2,1484.77,143227
2,65,8,99,9,30,0,10,365.9,5038.15,2008063
2,28,4,8,7,36,0,10,1.6,1214.11,1804409
1,40,6,99,7,30,0,8,10.9,4217.86,522940
2,40,6,8,9,22,0,7,23.9,2191.96,963364
1,40,6,8,7,43,0,9,32.5,2199.99,608767
1,39,5,8,6,44,0,3,5.9,1243.68,39932
1,25,4,8,7,44,0,8,20.9,1959.47,1341942
2,32,5,8,7,44,0,5,36.3,1089.33,404282
2,33,5,99,7,20,0,10,118.9,2820.57,1784722
2,47,6,99,7,40,0,10,107.1,3715.62,1934161
1,61,7,2,4,44,0,9,160.9,1190.31,452734
2,56,7,8,7,44,0,2,119.9,1402.32,1857701
1,33,5,8,7,44,0,8,54.9,1722.27,1485055
2,40,6,99,2,40,0,8,154.6,1237.0,1697231
1,34,5,8,7,44,0,6,89.6,2021.25,1533793
1,39,5,99,9,20,0,10,45.6,2044.44,722649
2,46,6,9,7,36,0,8,17.9,1504.11,891419
2,57,7,99,2,40,0,10,16.8,1058.85,1696479
1,33,5,8,7,44,0,6,100.3,2903.16,2320681
1,27,4,8,7,44,0,9,38.4,1325.79,1503249
2,50,7,9,7,44,0,4,13.4,1052.5,2405244
2,44,6,8,9,44,0,7,250.2,7618.76,310327
2,27,4,8,9,36,0,7,23.5,2121.02,970322
1,42,6,9,7,44,0,2,29.9,1313.39,1392316
2,34,5,9,7,40,0,10,21.1,1339.18,2391148
1,32,5,2,5,44,0,3,39.9,1524.41,2229915
1,49,6,8,6,44,0,4,1.4,1056.36,485171
1,20,3,8,7,44,0,9,3.8,1072.75,1337050
2,41,6,99,7,30,0,10,77.0,4146.05,392402
1,68,8,99,2,40,0,10,386.8,3383.32,2096903
1,22,3,9,9,44,0,8,75.2,2422.6,730858
2,36,5,8,7,44,0,7,118.5,2795.58,876171
1,25,4,99,5,30,0,10,56.1,1672.58,466782
1,32,5,99,7,30,0,10,150.8,4022.81,1291237
2,33,5,9,5,44,1,7,21.4,1074.49,1722754
1,38,5,9,7,44,0,5,48.9,1067.68,2110221
2,40,6,99,7,30,0,8,100.9,5949.96,2176106
2,44,6,99,9,40,0,10,160.9,6720.81,2061278
1,42,6,8,7,44,0,5,50.9,3209.33,50633
1,33,5,2,9,44,0,5,3.5,1649.83,2350277
1,36,5,99,7,36,0,8,62.2,1346.42,2303245
1,46,6,9,5,44,0,8,17.0,1583.56,986090
2,50,7,99,3,40,0,8,198.9,1478.97,175568
1,36,5,9,7,44,0,2,9.6,3668.45,1013120
2,55,7,99,9,30,0,10,246.3,5915.16,967267
1,54,7,8,5,44,0,8,30.9,1547.68,1220684
1,44,6,8,7,44,0,2,54.9,2494.75,574689
2,52,7,99,7,30,0,10,188.6,2893.53,1914835
1,18,3,8,6,20,0,9,10.6,974.01,480629
1,55,7,6,9,36,0,7,122.4,4081.14,1654390
1,47,6,8,7,44,0,5,207.1,3023.59,1433085
1,30,5,8,5,44,0,8,1.9,1200.55,1213783
1,43,6,8,7,44,0,9,197.0,4407.65,1504724
2,60,7,99,9,40,0,10,312.7,24405.5,2441037
1,38,5,8,3,44,0,9,3.5,1253.88,445876
1,57,7,2,3,40,0,2,159.9,3977.08,443223
2,39,5,99,9,30,0,10,158.9,13897.78,420286
1,28,4,9,8,44,0,5,2.8,3645.36,687173
2,41,6,4,8,44,0,3,56.9,1959.08,275058
2,25,4,8,7,44,0,7,4.4,1060.92,2412582
1,38,5,8,7,44,0,10,5.2,3451.69,1559942
1,30,5,2,7,44,0,3,49.9,1194.04,1395063
1,32,5,9,7,44,0,5,32.7,1529.06,650068
2,46,6,99,9,30,0,10,95.9,3739.95,1978572
1,47,6,8,7,44,0,3,9.3,1950.11,540311
1,42,6,9,2,44,0,6,191.9,9746.98,1671
1,27,4,8,5,44,0,9,66.2,1847.9,1197264
1,60,7,99,7,40,0,9,449.9,4398.09,568697
2,30,5,8,8,24,0,5,26.9,1211.09,274370
2,26,4,99,7,44,0,10,19.9,1070.26,1797218
1,73,8,99,7,40,0,10,337.2,2377.51,98480
1,39,5,2,7,44,0,3,38.9,4704.98,1441498
2,39,5,99,3,40,0,7,23.9,2522.41,1700915
2,34,5,9,7,36,0,4,9.7,1810.82,1822778
1,47,6,8,7,44,0,6,7.2,2436.03,489641
2,31,5,2,7,44,0,7,55.8,2186.36,1828423
2,31,5,99,7,40,0,10,117.3,1387.73,225444
1,56,7,99,9,30,0,10,292.5,2526.61,715016
2,20,3,9,7,22,0,10,18.6,688.31,404868
2,33,5,2,9,40,0,5,2.9,10998.86,2037179
2,22,3,8,7,20,0,7,22.1,560.17,843397
1,70,8,99,9,30,0,8,442.5,22892.58,152142
2,26,4,8,7,44,0,5,20.7,1396.24,2415415
2,47,6,2,8,40,0,4,176.4,2694.35,902482
2,33,5,8,7,44,0,3,46.9,1578.11,1829678
2,55,7,99,4,40,0,8,272.2,2739.43,177940
1,44,6,99,5,30,0,7,155.1,2258.93,2226859
2,40,6,99,9,30,0,10,76.6,2462.91,951574
2,50,7,9,6,44,0,7,20.9,1226.95,190276
2,48,6,9,7,44,0,5,119.9,2579.78,1839309
1,46,6,2,9,44,0,6,0.9,1193.69,749747
1,22,3,8,5,44,0,2,18.9,1432.54,1194819
1,24,3,8,7,44,0,2,11.5,1020.72,2271605
1,65,8,8,2,44,0,6,58.9,1431.1,1093690
2,27,4,8,7,44,0,9,31.7,1189.84,1820518
1,38,5,8,6,44,0,8,8.5,1385.15,2240218
1,50,7,8,9,44,0,8,0.5,8422.25,735551
1,26,4,8,7,44,0,7,6.7,1247.94,1011884
2,32,5,99,9,40,0,10,23.9,2013.8,1062509
1,27,4,9,7,44,0,7,29.9,2007.42,1506854
2,41,6,99,9,40,0,10,248.5,3193.91,2435689
2,51,7,9,7,44,0,4,131.9,1551.58,1877797
2,32,5,8,7,44,0,3,0.3,524.55,1888772
1,49,6,4,4,44,0,3,39.5,1562.51,1129180
1,57,7,99,9,30,0,8,46.8,6668.25,1670696
1,35,5,8,4,44,0,10,121.4,1804.52,1119562
2,25,4,8,6,44,0,4,33.9,928.52,1744207
2,23,3,99,9,40,0,10,4.4,3439.25,2203730
2,29,4,99,9,40,0,10,71.7,7181.52,2208094
2,31,5,2,7,44,0,5,44.9,1244.79,410385
1,22,3,9,7,44,0,3,9.6,1180.14,106718
2,30,5,8,7,22,0,2,16.8,798.13,1915446
1,32,5,8,5,44,0,10,21.6,1071.58,1166609
1,57,7,99,5,30,0,10,379.2,4954.0,1164267
2,34,5,8,7,36,0,8,62.9,2682.67,1936682
2,37,5,99,9,30,0,8,5.1,4349.64,921797
1,49,6,8,4,36,0,3,196.5,1991.96,1146364
1,37,5,4,7,40,0,10,10.6,1344.19,112571
2,32,5,9,7,44,0,3,16.9,1164.97,1766549
2,31,5,2,7,44,0,7,84.3,1507.14,857754
1,24,3,8,3,44,0,10,3.3,1042.23,1115472
1,41,6,8,7,44,0,2,29.4,1748.08,1271253
1,43,6,99,7,40,0,9,250.9,1389.48,554399
1,25,4,8,7,44,0,5,14.6,4132.78,1476555
1,38,5,8,7,44,0,3,9.9,1506.03,2256670
2,33,5,2,7,44,0,5,21.9,573.64,212420
1,55,7,4,8,44,0,5,105.5,4500.21,148129
2,33,5,8,7,30,0,2,76.3,1171.31,801376
1,33,5,2,9,40,0,6,136.2,12015.33,2334498
2,19,3,8,7,44,0,4,1.9,1313.62,1951996
1,63,7,8,7,38,0,9,508.9,4295.04,1321704
2,51,7,99,7,40,0,10,154.3,3605.7,199486
1,42,6,8,7,44,0,8,42.9,1237.31,1007207
2,42,6,8,9,36,0,10,10.9,3730.44,2013452
2,35,5,8,6,44,0,2,39.9,1216.72,1743733
2,30,5,99,9,40,0,10,71.8,3225.97,2442174
1,23,3,8,5,44,0,5,4.6,1028.26,990292
2,17,2,9,6,20,0,8,13.4,536.29,1744202
2,52,7,99,9,40,0,10,285.8,8527.8,2196935
1,30,5,9,9,44,0,9,11.8,7414.93,1683185
2,53,7,99,9,36,0,9,94.4,4279.31,2421469
1,40,6,8,8,40,0,7,158.0,18078.82,695697
2,38,5,8,7,44,0,7,37.9,1300.88,1758677
2,26,4,8,9,44,0,7,32.5,3051.33,2047334
1,53,7,8,7,44,0,7,2.9,1247.53,547880
2,36,5,99,9,40,0,10,130.1,1855.18,2439926
2,56,7,99,7,40,0,10,407.9,4978.94,1863077
1,45,6,99,9,40,0,9,78.6,11258.74,727425
2,59,7,9,9,44,0,5,42.8,4421.3,1071751
1,49,6,2,5,44,0,5,159.8,3866.15,1158731
2,38,5,99,9,30,0,10,179.6,10250.03,2208345
2,28,4,99,9,40,0,10,19.1,3532.96,289335
1,34,5,2,8,44,0,2,40.3,2056.39,2135750
1,35,5,9,3,44,0,10,94.5,1124.04,1115123
1,27,4,9,7,44,0,7,29.6,1443.87,1482868
2,26,4,9,7,44,0,4,11.1,1578.0,897432
1,35,5,8,7,44,0,8,7.9,1416.8,505947
1,24,3,8,7,44,0,7,28.6,1692.87,634171
1,54,7,8,7,44,0,6,55.9,3326.31,1404684
2,45,6,99,7,40,0,7,273.9,2593.1,390942
1,32,5,9,7,44,0,6,18.9,1686.69,1589147
2,44,6,2,6,44,0,4,37.9,1308.41,1740082
2,54,7,99,10,40,0,10,430.6,7735.73,2093457
1,59,7,99,7,30,0,10,351.1,7871.74,1284480
2,47,6,99,9,30,0,10,2.2,1748.77,2191706
2,22,3,8,7,44,0,2,1.6,1107.26,844827
2,44,6,99,9,44,0,10,151.7,3910.3,2185087
2,37,5,99,9,30,0,10,145.5,4897.85,2030976
2,33,5,8,7,44,0,9,19.8,2166.16,2165800
2,41,6,99,7,30,0,10,108.6,2298.05,394397
1,18,3,2,6,30,0,9,16.8,522.84,1243224
2,48,6,99,9,30,0,10,277.8,3736.97,2088709
1,31,5,99,9,30,0,10,26.6,5860.79,739494
1,43,6,99,7,30,0,7,188.9,1290.51,2294705
1,52,7,9,7,44,0,2,9.9,1081.88,2244803
1,42,6,8,7,44,0,4,60.9,1514.64,1531431
2,19,3,8,7,44,0,5,0.4,539.5,399975
2,51,7,9,9,44,0,5,16.0,920.75,282153
1,25,4,8,6,44,0,3,10.9,1150.9,1252369
1,35,5,8,9,44,0,3,33.9,889.23,2156632
1,25,4,8,7,44,0,4,14.2,1240.57,111147
2,45,6,8,7,44,0,5,2.4,1182.95,2393165
2,46,6,9,7,44,0,4,6.9,1057.95,197120
2,37,5,9,7,44,0,2,17.9,1035.09,399996
1,27,4,8,7,44,0,9,10.8,1051.22,1508087
1,52,7,99,7,44,0,10,4.9,1018.83,540437
1,26,4,8,7,44,0,10,5.3,1767.93,1511415
1,51,7,99,9,40,0,7,269.9,14746.56,1020602
2,41,6,99,7,40,0,10,141.3,2631.34,1843918
2,49,6,8,9,30,0,7,6.9,2102.71,1977237
1,30,5,8,7,44,0,2,37.9,702.47,2120597
